#{"t_start": 1775959170.776017, "env_id": "None"}
r,l,t
-48.268841,480,124.295091
-47.556321,480,124.613253
-60.303665,480,124.687562
-52.273508,480,124.759042
-63.148802,480,124.831086
-65.600663,480,124.90291
-45.723767,480,125.209718
-63.523393,480,125.280127
-105.691181,480,125.351811
-41.491337,480,125.424466
-63.859219,480,125.729789
-52.997691,480,125.800725
-76.296404,480,125.873223
-53.094691,480,125.945982
-35.097404,480,126.250203
-62.249395,480,126.322835
-45.795845,480,126.395122
-47.744396,480,126.468222
-49.469443,480,126.53848
-87.429393,480,126.84742
-79.538832,480,126.920386
-53.906908,480,126.993999
-96.373855,480,127.064868
-56.887535,480,127.368863
-133.883148,480,127.440822
-39.949692,480,127.511468
-60.909131,480,127.582913
-67.035256,480,127.885823
-39.444749,480,127.957494
-76.55368,480,128.029192
-37.147416,480,128.100974
-62.565762,480,128.43742
-42.50097,480,128.510967
-39.507306,480,128.583349
-107.005044,480,128.654598
-91.962656,480,128.726963
-38.198411,480,129.034799
-52.293326,480,129.10826
-103.752131,480,129.17932
-49.612985,480,129.251756
-55.304635,480,129.557054
-66.96955,480,129.629479
-43.605146,480,129.699334
-45.742939,480,129.771292
-37.973599,480,130.077338
-54.90011,480,130.150103
-35.698158,480,130.221984
-65.401887,480,130.31098
-54.902998,480,130.61582
-68.484249,480,130.689085
-58.851237,480,130.76084
-35.15617,480,130.833549
-76.807888,480,130.905513
-51.725107,480,131.211167
-34.808803,480,131.281954
-30.436068,480,131.353108
-93.156441,480,131.42552
-58.946415,480,131.744836
-50.16121,480,131.814666
-69.875224,480,131.886705
-131.660554,480,131.95773
-51.084001,480,132.291861
-44.351914,480,132.365345
-44.423875,480,132.436256
-87.641017,480,132.510299
-36.880989,480,132.815322
-50.318241,480,132.88778
-45.490429,480,132.958693
-42.691607,480,133.030752
-68.993796,480,133.102086
-34.526533,480,133.407855
-27.857851,480,133.480207
-75.038759,480,133.55227
-116.058055,480,133.622438
-47.031456,480,133.926687
-86.149261,480,134.001354
-74.524108,480,134.075074
-59.373076,480,134.144761
