#{"t_start": 1775959733.6788962, "env_id": "None"}
r,l,t
-8727.623402,62,17.034241
-5260.239756,48,17.043572
-9960.957365,84,17.060064
-9207.669447,81,17.075595
-10467.866303,80,17.091146
-5032.431773,33,17.097532
-8693.626526,70,17.110716
-4041.707112,40,17.118226
-7758.20765,61,17.129693
-10030.873659,71,17.144094
-6257.323589,54,17.154573
-10178.608152,81,17.170357
-8718.850131,73,17.184058
-7450.159897,59,17.195013
-7130.795201,62,17.207079
-6110.651237,57,17.21803
-5937.063342,54,17.228315
-9589.425858,66,17.24166
-9558.686481,79,17.257739
-5761.770511,49,17.267246
-8392.36881,65,17.27943
-9445.903251,67,17.292095
-10434.707308,80,17.307346
-6505.91877,58,17.318264
-7686.354384,73,17.331975
-10623.203278,67,17.767946
-4724.26582,38,17.776511
-9564.162354,86,17.793056
-7379.286992,66,17.806314
-9980.544329,94,17.824455
-6059.073314,51,17.834465
-10165.729519,87,17.851269
-10850.511891,78,17.866254
-8530.775484,64,17.879343
-8635.667614,73,17.893484
-6735.441911,64,17.905866
-9019.621975,73,17.919697
-10331.46314,80,17.934857
-5750.046921,56,17.945447
-5407.900631,51,17.955059
-10922.360137,93,17.972589
-6114.342486,51,17.983137
-10047.30669,92,18.001114
-9852.026231,82,18.016613
-5304.922339,50,18.026036
-9443.888557,78,18.040647
-7146.850351,58,18.05198
-7739.501747,72,18.066004
-8486.468931,78,18.081241
-5154.692673,48,18.09136
-5178.146206,50,18.101571
-4536.164891,29,18.107199
-9236.010919,76,18.121856
-7329.773711,52,18.131835
-6967.409839,60,18.143354
-10407.802276,75,18.157662
-8808.173318,75,18.171967
-7342.743078,64,18.184139
-9975.757204,80,18.200526
-6316.374689,63,18.212568
-10518.096421,84,18.228436
-10652.909351,88,18.245299
-8741.553738,74,18.259657
-7956.109541,65,18.272005
-10547.415708,75,18.28634
-4324.470484,31,18.292308
-6987.819371,55,18.303907
-6381.958336,48,18.313275
-8476.394396,75,18.327666
-8644.186931,64,18.340089
-4665.972241,46,18.348936
-9778.523845,78,18.363835
-8629.918503,72,18.377555
-8050.136288,74,18.391644
-10738.867625,81,18.408051
-7127.564054,62,18.420062
-9820.804154,84,18.436044
-11776.753633,97,18.454643
-7120.403741,50,18.464326
-10789.321609,83,18.480167
-6281.796867,65,18.492588
-5695.30176,49,18.502734
-6734.789255,62,18.514869
-6878.956922,64,18.527284
-8602.319444,78,18.542201
-10411.729039,92,18.99452
-9506.655739,87,19.011142
-6593.808195,61,19.022769
-8405.050217,61,19.035626
-7966.157399,65,19.048331
-7160.111848,63,19.060616
-8260.97419,82,19.076518
-11318.537671,84,19.092617
-8214.466627,63,19.104736
-7081.448142,50,19.114272
-8771.795553,72,19.127885
-13397.707346,104,19.148972
-5162.953732,44,19.157398
-6899.586031,55,19.167839
-5750.187193,60,19.179097
-10969.686255,93,19.196566
-10660.758047,92,19.213855
-8322.437945,70,19.226953
-10723.013591,90,19.245864
-10257.69108,82,19.262035
-5732.05163,50,19.271696
-5614.552595,45,19.280428
-6077.101524,54,19.290636
-7240.673501,64,19.302924
-7090.653803,58,19.314046
-8989.004222,78,19.328886
-4658.730039,28,19.334365
-7327.144188,66,19.347881
-4812.121322,43,19.3564
-9842.629469,80,19.371968
-4353.441734,41,19.379964
-10521.630941,95,19.398045
-10627.184309,75,19.412482
-8789.902534,86,19.429141
-11674.598133,98,19.450283
-6284.284784,56,19.461794
-6879.656315,62,19.474079
-9097.569995,84,19.490158
-4627.684257,33,19.496639
-6996.777763,64,19.509067
-11489.397331,90,19.526423
-9610.985618,82,19.542106
-8988.494191,72,19.556565
-7011.904262,60,19.568491
-10420.319004,88,19.585155
-8211.837075,72,19.59877
-6839.223426,46,19.607484
-10373.662566,80,19.622923
-7301.916139,74,19.637106
-9017.99735,68,19.649968
-7553.677439,62,19.662354
-10091.941002,90,19.679958
-8316.73492,80,19.6955
-7443.678979,55,19.706117
-9801.056113,83,19.722142
-9285.004822,92,19.739709
-10088.045897,75,19.754102
-6925.354337,44,19.762643
-7348.323133,54,19.77394
-8330.891764,56,19.784955
-4839.621953,40,20.21729
-6761.738351,62,20.229502
-8189.487173,67,20.242373
-8153.687749,66,20.255382
-8216.945837,72,20.269517
-5729.766928,47,20.278553
-6294.755198,52,20.288462
-9504.143966,84,20.305618
-8802.213414,78,20.320523
-8594.751011,79,20.335674
-7576.072435,61,20.34729
-10709.033714,78,20.362213
-10465.413758,81,20.377551
-6557.989046,57,20.388724
-8148.237207,72,20.403583
-8982.488007,74,20.417919
-9937.479405,82,20.433789
