#{"t_start": 1775967785.2824872, "env_id": "None"}
r,l,t
-36.049725,35,13.235692
-20.359029,19,13.238876
-36.615953,46,13.246547
-35.805704,50,13.254708
-56.594757,64,13.26517
-81.660166,106,13.282343
-48.555276,43,13.289363
-44.544464,62,13.299618
-40.810969,52,13.308338
-28.610743,35,13.31417
-46.042467,45,13.321723
-50.780852,46,13.330076
-51.085202,71,13.341828
-48.409369,35,13.347658
-42.65847,47,13.355334
-79.440232,91,13.370161
-77.470888,79,13.383071
-38.45821,48,13.39114
-41.710279,49,13.399267
-100.137449,118,13.418555
-35.657776,30,13.423465
-71.731032,80,13.437427
-42.065944,71,13.449366
-58.471497,65,13.46007
-65.818262,96,13.475522
-72.251744,88,13.489844
-29.875231,39,13.496145
-37.780282,34,13.501837
-39.688772,77,13.514425
-37.149508,32,13.51978
-23.51665,41,13.526592
-37.661652,39,13.533027
-50.337843,59,13.543737
-26.638015,31,13.549337
-78.623999,78,13.562285
-36.175417,93,13.578299
-35.704275,35,13.585222
-34.616974,54,13.59425
-33.768587,40,13.601366
-50.562535,49,13.609305
-47.82939,58,13.619072
-37.134917,45,13.626474
-29.310427,29,13.63169
-40.705102,45,13.63927
-44.406567,78,13.65326
-69.461838,80,13.666787
-41.964765,41,13.673486
-25.082351,44,13.680654
-66.4616,52,13.689009
-36.792133,43,13.695978
-57.016274,51,13.704423
-54.027703,55,13.713386
-49.40469,56,13.722378
-45.098028,36,13.728176
-34.712156,31,13.733286
-59.113126,59,13.742838
-27.7859,27,13.748061
-42.434606,42,13.755175
-52.78605,81,13.768327
-28.827347,23,13.772116
-68.159559,62,13.782053
-34.763046,54,13.790686
-27.230446,32,13.795854
-45.070571,45,13.80304
-33.065578,35,13.808848
-26.146081,28,13.813468
-31.363593,46,13.82083
-23.97326,29,13.825472
-56.023901,55,13.834224
-30.639175,35,13.839808
-48.526215,51,13.848015
-30.682877,35,13.854511
-44.407582,77,13.867517
-49.990047,58,13.876802
-28.61248,53,13.885232
-22.745891,27,13.889627
-61.424158,64,14.180518
-46.654029,56,14.190044
-41.247359,35,14.195912
-72.79438,79,14.208876
-104.576912,88,14.223221
-41.787511,61,14.233172
-67.040832,60,14.242988
-38.207775,41,14.249735
